Education,Experience,Job_Title,Age,Gender,Location,Salary_USD
High School,16,Director,43,Female,Iran,28711.10204940613
High School,27,Engineer,57,Male,United-States,26040.0
PhD,26,Manager,40,Male,Peru,174600.0
Bachelor,26,Engineer,33,Male,Trinadad&Tobago,75493.81085861794
PhD,7,Director,60,Male,United-States,189104.28720778791
High School,25,Director,61,Female,Cuba,30000.0
Master,24,Analyst,21,Male,South,92479.92274713115
Bachelor,16,Manager,28,Female,Trinadad&Tobago,75605.49562474572
Bachelor,6,Director,59,Female,Cuba,80574.14156418099
Bachelor,10,Analyst,64,Female,South,56753.50221228494
PhD,18,Manager,29,Female,United-States,169752.87570058176
High School,17,Manager,37,Female,Laos,27098.97661662078
High School,17,Director,45,Female,Italy,30000.0
High School,12,Manager,43,Female,?,26129.388946641822
Bachelor,15,Manager,60,Female,?,83074.93665648918
Bachelor,6,Analyst,30,Female,Thailand,52144.87175442417
Master,23,Engineer,46,Male,France,123840.0
Bachelor,20,Manager,33,Male,Philippines,80522.40131551727
High School,16,Analyst,51,Female,Vietnam,22080.0
High School,23,Analyst,41,Female,United-States,22080.0
Bachelor,14,Analyst,53,Female,Philippines,63922.79994101586
Master,12,Director,21,Male,England,136008.4702725414
Bachelor,12,Director,52,Male,Ecuador,86231.91932254926
Bachelor,2,Engineer,63,Female,Puerto-Rico,78259.6793598891
PhD,8,Director,26,Female,Mexico,172787.91341045633
Bachelor,24,Analyst,54,Male,India,65733.32000898402
High School,27,Analyst,50,Female,Guatemala,21998.166765381993
High School,17,Engineer,46,Male,Guatemala,23893.669158460925
High School,8,Analyst,58,Male,El-Salvador,22080.0
PhD,16,Director,56,Female,Guatemala,192000.0
PhD,23,Analyst,37,Male,United-States,136292.81021901788
Bachelor,1,Engineer,32,Male,Ecuador,65432.517363644634
Master,5,Engineer,59,Male,Greece,119110.26004342941
Bachelor,19,Engineer,45,Male,Japan,82500.0
PhD,24,Manager,20,Female,Vietnam,166569.11732757426
Bachelor,22,Director,58,Male,England,96000.0
PhD,3,Engineer,50,Female,Trinadad&Tobago,119796.84801903677
High School,9,Manager,61,Male,Outlying-US(Guam-USVI-etc),26087.96874023515
High School,11,Director,56,Female,United-States,29947.019869270858
PhD,6,Manager,58,Male,Iran,161550.25901170218
Bachelor,7,Director,48,Male,Poland,96000.0
Master,7,Director,62,Male,Mexico,140374.4645382985
High School,5,Director,43,Female,El-Salvador,26726.677529019245
Master,2,Engineer,35,Female,South,91196.24515006773
PhD,22,Director,58,Male,Hong,192000.0
PhD,28,Manager,58,Female,Ecuador,174600.0
Master,5,Analyst,42,Male,Columbia,95272.29567114158
PhD,6,Analyst,27,Male,Portugal,119406.12385924526
Bachelor,6,Director,57,Male,Columbia,86068.01834549895
Bachelor,7,Engineer,22,Male,Laos,73695.75928984422
Bachelor,4,Director,33,Female,Mexico,82468.86258134703
PhD,25,Manager,40,Male,Trinadad&Tobago,174600.0
Master,18,Analyst,49,Female,Haiti,94643.69808658796
High School,16,Manager,52,Male,England,27360.0
High School,21,Manager,39,Male,United-States,27360.0
Bachelor,19,Analyst,64,Female,Philippines,66087.66953333393
High School,10,Engineer,64,Female,Canada,24627.696861363893
PhD,24,Manager,42,Female,Guatemala,163499.20717992497
Master,5,Analyst,42,Male,Jamaica,92035.60431576292
PhD,18,Engineer,64,Male,Italy,156852.02440794997
PhD,25,Manager,57,Male,Ecuador,168948.853827611
Master,3,Manager,54,Female,Thailand,115413.91276608047
High School,20,Manager,58,Male,Puerto-Rico,27288.24472744306
Master,4,Manager,41,Female,Philippines,121088.74507859517
PhD,14,Director,48,Male,Iran,192000.0
Master,12,Engineer,54,Female,South,112630.30663932134
Master,14,Manager,21,Male,Cambodia,127417.97191320422
Bachelor,5,Analyst,37,Male,Thailand,53935.353045604104
Bachelor,18,Director,54,Female,France,94530.93905943271
PhD,27,Analyst,63,Male,France,139800.0
PhD,7,Analyst,33,Male,Ecuador,114704.40273608157
High School,16,Engineer,37,Female,Laos,23752.3016099352
PhD,3,Analyst,51,Male,Poland,102218.80908920294
High School,22,Director,41,Female,Columbia,28438.749352250594
High School,21,Manager,54,Female,Poland,27360.0
Master,11,Manager,21,Male,Outlying-US(Guam-USVI-etc),107825.47886849903
Master,27,Analyst,25,Male,India,100982.59828825657
PhD,26,Engineer,58,Female,United-States,165296.949664389
Bachelor,18,Engineer,51,Female,Ireland,72084.9543698903
Bachelor,6,Manager,48,Male,Cuba,72810.69534460804
High School,26,Manager,58,Male,Cambodia,26793.72462355804
PhD,21,Analyst,24,Male,Laos,122546.03984787468
High School,22,Engineer,57,Female,India,24983.489506933962
Master,24,Analyst,27,Female,Jamaica,99437.94572507798
PhD,5,Manager,23,Female,France,141817.01138613006
PhD,5,Manager,41,Male,Vietnam,152431.59521801682
Bachelor,16,Analyst,41,Female,Italy,69000.0
PhD,3,Engineer,46,Male,Outlying-US(Guam-USVI-etc),122259.91462840585
Bachelor,12,Manager,22,Male,Taiwan,82044.20473322865
PhD,3,Manager,48,Male,Italy,143434.2690653664
Master,2,Engineer,52,Male,Cuba,99587.07424147223
High School,15,Manager,57,Female,Italy,26948.73210743046
Bachelor,20,Engineer,53,Male,Honduras,81993.15684159801
Bachelor,17,Engineer,55,Female,Cambodia,71995.5511167121
PhD,12,Manager,52,Female,Cambodia,174600.0
PhD,2,Analyst,59,Male,Thailand,117496.7038757693
PhD,26,Manager,37,Female,South,169567.09865510027
Bachelor,2,Manager,29,Female,Iran,71636.91787783807
Bachelor,14,Manager,55,Male,Philippines,81199.49448225244
Bachelor,7,Director,64,Female,Guatemala,81538.13514954575
PhD,26,Manager,42,Male,Ireland,170790.41123968933
PhD,25,Analyst,25,Male,Puerto-Rico,133376.70185661878
Master,14,Analyst,42,Male,Portugal,96266.89841279604
Master,7,Analyst,29,Female,Jamaica,89950.46764361601
Master,20,Engineer,21,Male,England,106588.92506975442
High School,17,Director,63,Female,South,30000.0
PhD,24,Director,25,Female,Laos,179604.1189784425
PhD,27,Analyst,62,Female,Honduras,135950.9150166427
Bachelor,4,Director,24,Female,Dominican-Republic,85276.08696760278
Master,27,Engineer,27,Male,Honduras,122015.25768618405
PhD,15,Manager,39,Male,Puerto-Rico,163005.88556077908
Bachelor,27,Analyst,58,Female,Iran,64752.7212412021
PhD,3,Director,33,Female,Portugal,157442.15821576575
PhD,6,Analyst,31,Male,United-States,105365.02585138804
Bachelor,26,Analyst,43,Female,Vietnam,68692.76297338898
Bachelor,8,Analyst,58,Male,Honduras,55009.362499030954
Bachelor,16,Analyst,31,Male,Cuba,63415.118220281605
High School,15,Manager,60,Female,Hong,25391.5441614762
Master,4,Analyst,51,Female,Cuba,100242.37782428395
Master,21,Director,23,Male,Poland,137061.68313838236
High School,8,Director,22,Male,Japan,26027.934889522552
Bachelor,23,Engineer,27,Female,Germany,80921.14333845314
Bachelor,8,Engineer,22,Male,Dominican-Republic,66681.54408765142
High School,20,Director,45,Female,Japan,29871.921583194566
PhD,7,Analyst,25,Male,India,109624.70602400393
High School,26,Director,36,Male,Taiwan,29567.641611064515
High School,20,Engineer,28,Female,Trinadad&Tobago,23409.875448277355
PhD,24,Analyst,37,Male,Guatemala,134138.23906196663
Master,18,Director,48,Female,Outlying-US(Guam-USVI-etc),138688.02445690462
Bachelor,12,Manager,34,Male,Germany,76084.69440352738
Master,4,Director,26,Female,El-Salvador,117295.65247700115
Bachelor,14,Engineer,33,Female,Greece,71173.31568802858
Master,27,Director,48,Female,Peru,144000.0
High School,24,Analyst,23,Female,Puerto-Rico,20720.036115566283
Master,25,Director,64,Male,Dominican-Republic,144000.0
High School,28,Engineer,58,Male,Puerto-Rico,26040.0
Bachelor,29,Director,24,Male,India,96000.0
Bachelor,25,Analyst,20,Male,Vietnam,69000.0
Bachelor,5,Director,31,Male,Ireland,81794.82251724637
High School,22,Engineer,58,Male,India,26040.0
PhD,20,Manager,26,Male,Italy,162709.34037657356
High School,23,Director,40,Male,Dominican-Republic,30000.0
PhD,26,Director,26,Male,Cambodia,190273.69129090762
High School,7,Engineer,36,Male,Ireland,20298.79968743903
High School,12,Engineer,20,Male,?,21755.966547455777
High School,15,Director,23,Male,Jamaica,28351.936868886056
High School,19,Engineer,25,Male,Philippines,24292.51301912939
Bachelor,26,Engineer,59,Male,Japan,82500.0
PhD,13,Analyst,36,Male,Hong,121235.36622388751
PhD,4,Director,45,Female,Germany,171367.1990998506
High School,6,Director,50,Male,Honduras,29274.66210753514
PhD,8,Manager,47,Male,Dominican-Republic,161111.61178808368
Master,15,Manager,31,Female,Germany,119501.86558730608
Master,12,Engineer,60,Male,United-States,121407.46849710973
Bachelor,10,Engineer,20,Male,Scotland,66010.82378732518
Bachelor,12,Director,53,Male,Poland,93214.51838485638
Bachelor,17,Manager,45,Female,Guatemala,83362.31871016187
Master,29,Director,34,Male,Trinadad&Tobago,144000.0
Bachelor,28,Director,54,Male,Yugoslavia,96000.0
Bachelor,8,Director,60,Male,Thailand,84557.49836882342
High School,28,Manager,63,Female,Ireland,27360.0
Bachelor,2,Director,58,Female,Ecuador,81321.73797846325
Master,19,Manager,39,Male,Thailand,130560.0
Bachelor,22,Manager,62,Male,Thailand,87000.0
Bachelor,29,Engineer,54,Male,Outlying-US(Guam-USVI-etc),82500.0
High School,1,Director,58,Female,Laos,25724.039520108105
High School,22,Manager,41,Male,Dominican-Republic,26942.54916893191
Bachelor,25,Engineer,40,Female,United-States,80885.92105625555
Bachelor,10,Engineer,46,Female,Jamaica,76673.89891197761
Master,9,Manager,55,Male,Germany,126944.93035916526
PhD,19,Analyst,47,Male,?,127714.8997028028
PhD,12,Engineer,23,Female,Honduras,139899.80205695823
Bachelor,29,Manager,45,Male,Mexico,87000.0
PhD,22,Engineer,27,Male,Italy,161289.2321136702
PhD,20,Analyst,24,Male,Peru,123301.4990451645
PhD,18,Director,24,Male,Japan,182984.51957660084
Master,24,Manager,29,Male,Cambodia,127167.80135992107
Master,16,Director,24,Female,Scotland,140203.1507912404
Bachelor,4,Engineer,53,Female,United-States,76277.65795237222
Master,11,Analyst,30,Female,?,88235.6120916118
PhD,25,Analyst,43,Female,Poland,139800.0
Master,22,Engineer,52,Male,Cuba,123840.0
High School,29,Manager,33,Female,Cuba,27360.0
PhD,27,Manager,41,Male,Canada,169329.2626699341
PhD,22,Engineer,48,Male,Nicaragua,165900.0
Bachelor,15,Analyst,43,Female,Outlying-US(Guam-USVI-etc),61471.23718056717
Bachelor,16,Director,25,Female,South,92681.0086623218
Bachelor,2,Analyst,22,Female,Peru,53403.90816149044
Master,13,Analyst,20,Female,England,79550.01730301081
Bachelor,12,Analyst,29,Female,England,58966.93015471574
Bachelor,26,Engineer,27,Male,Outlying-US(Guam-USVI-etc),76515.75396149297
Bachelor,8,Director,49,Female,Jamaica,94552.84970016852
Master,12,Analyst,41,Male,El-Salvador,87522.40705613424
High School,27,Engineer,36,Male,Yugoslavia,25910.090928813526
PhD,14,Manager,34,Male,Honduras,156421.3094266432
Bachelor,3,Manager,39,Female,Nicaragua,68203.95673004292
High School,2,Analyst,57,Male,Hungary,18639.896277478936
PhD,17,Analyst,46,Male,England,136562.71861061396
Bachelor,2,Director,32,Female,Cambodia,85662.06310812067
Bachelor,17,Analyst,35,Male,United-States,59142.90303134214
Master,2,Manager,39,Female,Iran,110636.0977618445
High School,2,Engineer,38,Male,Laos,19583.557072706197
Master,13,Engineer,62,Female,Taiwan,110231.3401940737
PhD,7,Director,22,Female,Cambodia,170655.77734711344
High School,9,Engineer,36,Female,Columbia,21430.67886208307
Master,9,Director,31,Male,Guatemala,130484.4052362196
High School,14,Analyst,55,Male,Peru,19347.071116841944
Master,11,Engineer,29,Female,Portugal,96686.84656998781
High School,20,Director,29,Female,El-Salvador,27916.289003298916
High School,19,Director,50,Male,El-Salvador,30000.0
PhD,1,Analyst,42,Female,Columbia,113243.87977398837
PhD,24,Manager,62,Female,South,174600.0
PhD,5,Engineer,40,Male,Poland,125064.75532425946
High School,23,Analyst,61,Male,El-Salvador,22080.0
High School,1,Engineer,39,Male,United-States,20220.159733616256
PhD,6,Manager,24,Male,Germany,152346.97019126042
Bachelor,16,Engineer,35,Male,Columbia,67002.69943829242
PhD,20,Director,53,Female,Greece,192000.0
Master,16,Engineer,20,Female,Canada,97658.87642604602
PhD,20,Director,35,Female,Thailand,187191.06486123963
High School,26,Manager,33,Female,Taiwan,25358.026985988396
PhD,13,Director,29,Female,United-States,178018.83177221564
High School,14,Analyst,62,Female,China,20415.32207268022
PhD,11,Director,30,Female,Cuba,163892.84448481197
PhD,21,Director,59,Female,Italy,192000.0
Bachelor,10,Analyst,54,Female,Portugal,64719.97423769682
Master,17,Director,59,Male,Germany,141617.13642535955
Bachelor,7,Director,64,Female,China,89894.13917146783
High School,22,Analyst,64,Female,Nicaragua,19813.407298986163
High School,4,Director,62,Male,Italy,25409.11672087493
PhD,17,Director,21,Female,Greece,174727.06322731538
High School,1,Engineer,28,Female,Japan,21166.720859862944
PhD,2,Engineer,20,Male,Ireland,136603.27415087842
High School,19,Director,31,Male,Haiti,28127.218201076004
High School,1,Analyst,46,Male,Portugal,18283.909803931347
Bachelor,12,Analyst,50,Male,Greece,62806.88624981389
High School,28,Engineer,63,Male,China,26040.0
Master,19,Analyst,62,Male,Columbia,100408.99054443081
Master,19,Analyst,39,Female,India,96117.66458593112
Master,26,Engineer,41,Female,Guatemala,123840.0
High School,23,Manager,21,Female,Mexico,27360.0
High School,16,Engineer,38,Female,Italy,22656.34056477457
Master,16,Analyst,48,Female,France,93324.44308525708
High School,29,Director,31,Female,Japan,29457.880793034295
Master,8,Analyst,59,Male,Mexico,86375.98993480699
PhD,28,Director,29,Female,Mexico,192000.0
Master,25,Director,44,Male,India,141470.94946605453
PhD,26,Director,24,Male,England,190087.1427511157
PhD,27,Manager,46,Female,Poland,174600.0
High School,25,Manager,63,Male,India,27360.0
Bachelor,13,Engineer,41,Male,Guatemala,77966.58646978727
Bachelor,14,Manager,34,Male,Outlying-US(Guam-USVI-etc),73709.07380766413
Bachelor,19,Director,49,Female,Guatemala,96000.0
High School,15,Analyst,21,Female,South,20525.124424407466
High School,15,Analyst,34,Male,United-States,20585.905344607
PhD,21,Director,20,Female,Outlying-US(Guam-USVI-etc),184921.83965093995
PhD,8,Analyst,35,Female,Outlying-US(Guam-USVI-etc),115252.48073053853
Bachelor,24,Analyst,53,Male,Canada,66132.31645487294
PhD,13,Manager,52,Female,Italy,165614.5552853564
High School,12,Director,57,Male,Canada,28439.790270931415
PhD,22,Analyst,25,Female,Guatemala,124844.55634623821
High School,28,Analyst,50,Female,United-States,21692.88541521308
Bachelor,13,Analyst,61,Male,Japan,63420.167098507205
Master,16,Director,29,Male,Cuba,135851.6900110151
Master,24,Director,27,Male,?,144000.0
High School,12,Engineer,50,Female,?,24144.797399298044
Master,14,Engineer,41,Male,Vietnam,101041.25123471017
Bachelor,15,Analyst,50,Female,Ireland,61716.83455378809
PhD,19,Manager,61,Female,Laos,174600.0
PhD,5,Manager,28,Female,Greece,150728.10329164047
PhD,29,Director,21,Female,Italy,174360.51367590754
Bachelor,2,Director,41,Male,Scotland,88521.59400688308
Master,18,Engineer,28,Male,Mexico,113690.90200710353
Bachelor,18,Engineer,20,Male,India,72704.90764003716
Master,24,Director,47,Male,Germany,144000.0
PhD,26,Manager,45,Female,Cambodia,174600.0
